occurrenceID,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementValueID
IYS:GoA2019_Stn1:bongo_occ:1,stage,NA,IYS:GoA2019_Stn1:bongo_occ:1:stage, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:1,sex,NA,IYS:GoA2019_Stn1:bongo_occ:1:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:1,ind_counted,36,IYS:GoA2019_Stn1:bongo_occ:1:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:1,ind_total,36,IYS:GoA2019_Stn1:bongo_occ:1:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:1,abund_m3_flow_est,0.8490566038,IYS:GoA2019_Stn1:bongo_occ:1:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:1,abund_m3_depth_est,0.7333469138,IYS:GoA2019_Stn1:bongo_occ:1:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:2,stage,NA,IYS:GoA2019_Stn1:bongo_occ:2:stage, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:2,sex,NA,IYS:GoA2019_Stn1:bongo_occ:2:sex, ,NA,NA,NA
IYS:GoA2019_Stn1:bongo_occ:2,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:2:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:2,ind_total,1,IYS:GoA2019_Stn1:bongo_occ:2:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:2,abund_m3_flow_est,0.02358490566,IYS:GoA2019_Stn1:bongo_occ:2:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:2,abund_m3_depth_est,0.02037074761,IYS:GoA2019_Stn1:bongo_occ:2:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:3,stage,C6,IYS:GoA2019_Stn1:bongo_occ:3:stage, ,NA,NA, 
IYS:GoA2019_Stn1:bongo_occ:3,sex,M,IYS:GoA2019_Stn1:bongo_occ:3:sex, ,NA,NA,http://vocab.nerc.ac.uk/collection/S10/current/S103/
IYS:GoA2019_Stn1:bongo_occ:3,ind_counted,1,IYS:GoA2019_Stn1:bongo_occ:3:ind_counted, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:3,ind_total,1,IYS:GoA2019_Stn1:bongo_occ:3:ind_total, ,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,NA
IYS:GoA2019_Stn1:bongo_occ:3,abund_m3_flow_est,0.02358490566,IYS:GoA2019_Stn1:bongo_occ:3:abund_flow, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
IYS:GoA2019_Stn1:bongo_occ:3,abund_m3_depth_est,0.02037074761,IYS:GoA2019_Stn1:bongo_occ:3:abund_depth, ,individuals/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,NA
