eventID,scientificName,occurrenceID,occurrenceStatus,reproductiveCondition,scientificNameID,scientificAuthorityName,vernacularName,taxonRank,taxonomicStatus,sex,lifeStage,kingdom,phylum,class,order,family,genus,Preparations,occurrenceRemarks
IYS:GoA2019_Stn1:bongo:Net2:Z53,Animalia,IYS:GoA2019_Stn1:bongo:Net2:Z53:zoop_occ-1,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn1:bongo:Net2:Z54,Animalia,IYS:GoA2019_Stn1:bongo:Net2:Z54:zoop_occ-2,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn1:bongo:Net2:Z55,Animalia,IYS:GoA2019_Stn1:bongo:Net2:Z55:zoop_occ-3,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn1:bongo:Net2:Z56,Animalia,IYS:GoA2019_Stn1:bongo:Net2:Z56:zoop_occ-4,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn1:bongo:Net2:Z86,Animalia,IYS:GoA2019_Stn1:bongo:Net2:Z86:zoop_occ-5,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn2:bongo:Net2:Z51,Animalia,IYS:GoA2019_Stn2:bongo:Net2:Z51:zoop_occ-6,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn2:bongo:Net2:Z52,Animalia,IYS:GoA2019_Stn2:bongo:Net2:Z52:zoop_occ-7,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn2:bongo:Net2:Z85,Animalia,IYS:GoA2019_Stn2:bongo:Net2:Z85:zoop_occ-8,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn2:bongo:Net2:Z87,Animalia,IYS:GoA2019_Stn2:bongo:Net2:Z87:zoop_occ-9,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
IYS:GoA2019_Stn2:bongo:Net2:Z88,Animalia,IYS:GoA2019_Stn2:bongo:Net2:Z88:zoop_occ-10,present,NA,urn:lsid:marinespecies.org:taxname:2,NA,NA,Kingdom,accepted,NA,"NA",Animalia,NA,NA,NA,NA,NA,size fractionated & frozen,NA
