eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementRemarks
IYS:GoA2019_Stn1:bongo:Net1,NA,IYS:GoA2019_Stn1:bongo:Net1:bongo:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,216.16662816662816,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
IYS:GoA2019_Stn1:bongo:Net1,NA,IYS:GoA2019_Stn1:bongo:Net1:bongo:depth_estimated_volume_filtered,depth_estimated_volume_filtered, ,49.0625,NA,cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA
IYS:GoA2019_Stn1:bongo:Net1,NA,IYS:GoA2019_Stn1:bongo:Net1:bongo:flowmeter_volume_filtered,flowmeter_volume_filtered,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,42.422700777700776,NA,cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA
IYS:GoA2019_Stn1:bongo:Net1,NA,IYS:GoA2019_Stn1:bongo:Net1:bongo:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA
IYS:GoA2019_Stn1:bongo:Net2,NA,IYS:GoA2019_Stn1:bongo:Net2:depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2300,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
IYS:GoA2019_Stn1:bongo:Net2,NA,IYS:GoA2019_Stn1:bongo:Net2:bongo:tow_distance,tow_distance,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,218.74643874643874,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
IYS:GoA2019_Stn1:bongo:Net2,NA,IYS:GoA2019_Stn1:bongo:Net2:bongo:depth_estimated_volume_filtered,depth_estimated_volume_filtered, ,49.0625,NA,cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA
IYS:GoA2019_Stn1:bongo:Net2,NA,IYS:GoA2019_Stn1:bongo:Net2:bongo:flowmeter_volume_filtered,flowmeter_volume_filtered,http://vocab.nerc.ac.uk/collection/P09/current/VOLF/,42.928988603988607,NA,cubic meter,http://vocab.nerc.ac.uk/collection/P06/current/MCUB/,NA
IYS:GoA2019_Stn1:bongo:Net2,NA,IYS:GoA2019_Stn1:bongo:Net2:bongo:speed_tow,speed_tow,http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,1,NA,meter per second,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,NA
IYS:GoA2019_Stn1:bongo:Net2,NA,IYS:GoA2019_Stn1:bongo:Net2:bongo:gear,gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,Bongo,http://vocab.nerc.ac.uk/collection/L22/current/NETT0176/,NA,NA,NA
IYS:GoA2019_Stn1:bongo:Net2,NA,IYS:GoA2019_Stn1:bongo:Net2:bongo:bongo_mesh,bongo_mesh,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,250,NA,micrometer,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,NA
IYS:GoA2019_Stn1:bongo:Net2,NA,IYS:GoA2019_Stn1:bongo:Net2:bongo:bongo_opening,bongo_opening,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,0.5,NA,square meter,http://vocab.nerc.ac.uk/collection/P06/current/UMSQ/,NA
IYS:GoA2019_Stn1:bongo:Net2:Z53,NA,IYS:GoA2019_Stn1:bongo:Net2:Z53:length,length,http://vocab.nerc.ac.uk/collection/S06/current/S0600015/,0.25,NA,mm,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,NA
IYS:GoA2019_Stn1:bongo:Net2:Z53,NA,IYS:GoA2019_Stn1:bongo:Net2:Z53:weight,weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600087/,24.0,NA,mg,http://vocab.nerc.ac.uk/collection/P06/current/MGRM/,NA
