cruise,station,gear,net,sample_depth,start_latitude,start_longitude,end_latitude,end_longitude,date,start_time,depth,sample_id,universal_id_ftn,sample_type,group,scientificName,organismQuantity,size_fraction,length_mm,length_type,weight_mg,tissue,stage,preservation,sub_sample,notes,cast,eventID,occurrenceID,occurrenceStatus,organismQuantityType,scientificNameID
GoA2019,GoA2019_Stn5,Bongo,2,250,47.666666666666664,-140,"NA","NA",2019-02-22T00:00:00Z,1899-12-31T19:00:00Z,4100,S50,"NA",Isotope,Decapod,Sergestes similis,1,4.0,40.0,total,64.8,whole,"NA",Freeze: -20,NA,from 4mm fraction,GoA2019_Stn5:bongo:Net2,GoA2019_Stn5:bongo:Net2:S50,IYS_GoA2019_zocc1,present,individuals,urn:lsid:marinespecies.org:taxname:514127
GoA2019,GoA2019_Stn5,Bongo,2,250,47.666666666666664,-140,"NA","NA",2019-02-22T00:00:00Z,1899-12-31T19:00:00Z,4100,S51,"NA",Isotope,Euphausiid,Euphausia pacifica,1,4.0,17.0,total,7.6,whole,"NA",Freeze: -20,NA,from 4mm fraction,GoA2019_Stn5:bongo:Net2,GoA2019_Stn5:bongo:Net2:S51,IYS_GoA2019_zocc2,present,individuals,urn:lsid:marinespecies.org:taxname:237851
GoA2019,GoA2019_Stn5,Bongo,2,250,47.666666666666664,-140,"NA","NA",2019-02-22T00:00:00Z,1899-12-31T19:00:00Z,4100,S52,"NA",Isotope,Euphausiid,Euphausia pacifica,1,4.0,25.0,total,28.8,whole,"NA",Freeze: -20,NA,from 4mm fraction,GoA2019_Stn5:bongo:Net2,GoA2019_Stn5:bongo:Net2:S52,IYS_GoA2019_zocc3,present,individuals,urn:lsid:marinespecies.org:taxname:237851
GoA2019,GoA2019_Stn5,Bongo,2,250,47.666666666666664,-140,"NA","NA",2019-02-22T00:00:00Z,1899-12-31T19:00:00Z,4100,S53,"NA",Isotope,Euphausiid,Thysanoessa spinifera,1,4.0,21.0,total,16.3,whole,"NA",Freeze: -20,NA,from 4mm fraction,GoA2019_Stn5:bongo:Net2,GoA2019_Stn5:bongo:Net2:S53,IYS_GoA2019_zocc4,present,individuals,urn:lsid:marinespecies.org:taxname:237874
GoA2019,GoA2019_Stn5,Bongo,2,250,47.666666666666664,-140,"NA","NA",2019-02-22T00:00:00Z,1899-12-31T19:00:00Z,4100,S54,"NA",Isotope,Euphausiid,Thysanoessa spinifera,1,4.0,16.0,total,8.9,whole,"NA",Freeze: -20,NA,from 4mm fraction,GoA2019_Stn5:bongo:Net2,GoA2019_Stn5:bongo:Net2:S54,IYS_GoA2019_zocc5,present,individuals,urn:lsid:marinespecies.org:taxname:237874
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_1,"NA",Biology,Tunicate,Salpa aspera,1,"NA",69.0,OA,TBD,whole,2.0,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc6,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_2,"NA",Biology,Tunicate,Salpa aspera,1,"NA",45.0,OA,TBD,whole,Spent,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc7,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_3,"NA",Biology,Tunicate,Salpa aspera,1,"NA",44.0,OA,TBD,whole,4.0,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc8,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_4,"NA",Biology,Tunicate,Salpa aspera,1,"NA",44.0,OA,TBD,whole,4.0,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc9,present,individuals,urn:lsid:marinespecies.org:taxname:137270
GoA2019,GoA2019_Stn10,Bongo,1,250,47.666666666666664,-147.5,"NA","NA",2019-02-24T00:00:00Z,1899-12-31T16:50:00Z,4600,Petri dish_5,"NA",Biology,Tunicate,Salpa aspera,1,"NA",44.0,OA,TBD,whole,Spent,Freeze: -20,NA,NA,GoA2019_Stn10:bongo:Net1,GoA2019_Stn10:bongo:Net1:Petri dish,IYS_GoA2019_zocc10,present,individuals,urn:lsid:marinespecies.org:taxname:137270
