eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementValueID
IYS:GoA2019_Stn1:juday,IYS:GoA2019_Stn1:juday:bottom_depth,bottom_depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2300,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:coefficient,taxa-specific coefficient value used to determine the corrected individuals per cubic meter and mass per cubic meter,NA,1.5,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
NA,IYS:GoA2019_Stn1:juday:count,NA,NA,9,NA,NA,NA
