measurementID,eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementRemarks
GoA2019_Stn1:cast1:depth,GoA2019_Stn1:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2300,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn2:cast1:depth,GoA2019_Stn2:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2550,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn3:cast1:depth,GoA2019_Stn3:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4055,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn4:cast1:depth,GoA2019_Stn4:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn5:cast1:depth,GoA2019_Stn5:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn6:cast1:depth,GoA2019_Stn6:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn8:cast1:depth,GoA2019_Stn8:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn7:cast1:depth,GoA2019_Stn7:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn9:cast1:depth,GoA2019_Stn9:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn10:cast1:depth,GoA2019_Stn10:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn11:cast1:depth,GoA2019_Stn11:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4700,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn12:cast1:depth,GoA2019_Stn12:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn13:cast1:depth,GoA2019_Stn13:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4800,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn14:cast1:depth,GoA2019_Stn14:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
GoA2019_Stn15:cast1:depth,GoA2019_Stn15:cast1,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,NA
