station,latitude,longitude
ctd1,48.311,-128.5136667
ctd2,48.19116667,-129.9175
ctd3,47.66683333,-136.997
ctd4,47.6645,-138.4993333
ctd5,47.66616667,-139.999
ctd6,47.66616667,-141.4985
ctd7,47.66633333,-142.9985
ctd8,47.67016667,-144.4955
ctd9,47.66616667,-145.999
ctd10,47.66833333,-147.5006667
ctd11,48.6675,-147.5001667
ctd12,49.66716667,-147.4968333
ctd13,50.66666667,-147.4846667
ctd14,51.66566667,-147.5013333
ctd15,52.66716667,-147.5001667
ctd16,53.66683333,-147.4978333
ctd17,54.666,-147.5001667
ctd18,55.66833333,-147.4986667
ctd19,56.66733333,-147.5033333
ctd20,56.66733333,-146.0013333
ctd21,56.66683333,-144.5
ctd22,56.66866667,-143.0001667
ctd23,55.66716667,-142.9976667
ctd24,55.6655,-144.5008333
ctd25,55.66783333,-145.9968333
ctd26,54.66933333,-145.9993333
ctd27,53.66616667,-145.999
ctd28,52.6685,-146.0041667
ctd29,51.66716667,-146.0001667
ctd30,50.66583333,-146.0008333
ctd31,49.6675,-145.9993333
ctd32,48.667,-145.9998333
ctd33,48.66516667,-144.5016667
ctd34,49.66683333,-144.67
ctd35,50.66783333,-144.5006667
ctd36,51.66666667,-144.5
ctd37,52.66666667,-144.4991667
ctd38,53.6655,-144.5005
ctd39,54.667,-144.4998333
ctd40,54.66666667,-143
ctd41,53.66683333,-142.9978333
ctd42,52.66583333,-143.0016667
ctd43,51.66666667,-143.0025
ctd44,50.6565,-142.9995
ctd45,49.66666667,-142.9988333
ctd46,48.667,-142.997
ctd47,48.67333333,-141.5013333
ctd48,49.66566667,-141.4993333
ctd49,50.66583333,-141.4991667
ctd50,51.66466667,-141.4981667
ctd51,52.66566667,-141.494
ctd52,53.66566667,-141.4973333
ctd53,53.667,-140.0011667
ctd54,52.66583333,-140.0006667
ctd55,51.66766667,-139.9995
ctd56,50.66666667,-140.0001667
ctd57,50.66666667,-138.5008333
ctd58,49.6655,-138.4993333
ctd59,48.66666667,-138.5001667
ctd60,48.66566667,-136.9973333
