eventID,parentEventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locality,locationID,type,fieldNotes
IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,project,NA
IYS:GoA2019,IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cruise,NA
IYS:GoA2019_Stn1,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn2,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn3,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn4,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn5,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn6,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn7,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn8,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn9,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn10,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn11,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn12,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn13,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn14,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn15,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn16,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
IYS:GoA2019_Stn17,IYS:GoA2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,station,NA
