eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMetres,maximumDepthInMetres,eventRemarks,type,geodeticDatum
GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,cruise,Event,EPSG:4326 WGS84
GoA2020_Stn:1,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:2,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:3,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:4,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:5,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:6,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:7,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:8,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:9,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:10,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:11,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:12,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:13,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:14,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:15,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:16,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:21,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:22,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:23,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:28,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:P,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:Q,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:P PRIME,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:S28,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:S27,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:Y27,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
GoA2020_Stn:Y,GoA2020,NA,NA,NA,NA,NA,NA,NA,station,Event,EPSG:4326 WGS84
