eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn:1:bongo:Net1,IYS:GoA2020_Stn:1:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:1:bongo:Net2,IYS:GoA2020_Stn:1:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:2:bongo:Net1,IYS:GoA2020_Stn:2:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2100,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:2:bongo:Net2,IYS:GoA2020_Stn:2:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2100,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:3:bongo:Net1,IYS:GoA2020_Stn:3:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:3:bongo:Net2,IYS:GoA2020_Stn:3:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:4:bongo:Net1,IYS:GoA2020_Stn:4:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4110,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:4:bongo:Net2,IYS:GoA2020_Stn:4:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4110,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:5:bongo:Net1,IYS:GoA2020_Stn:5:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:5:bongo:Net2,IYS:GoA2020_Stn:5:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:6:bongo:Net1,IYS:GoA2020_Stn:6:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4350,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:6:bongo:Net2,IYS:GoA2020_Stn:6:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4350,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:7:bongo:Net1,IYS:GoA2020_Stn:7:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:7:bongo:Net2,IYS:GoA2020_Stn:7:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:8:bongo:Net1,IYS:GoA2020_Stn:8:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:8:bongo:Net2,IYS:GoA2020_Stn:8:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:9:bongo:Net1,IYS:GoA2020_Stn:9:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:9:bongo:Net2,IYS:GoA2020_Stn:9:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:10:bongo:Net1,IYS:GoA2020_Stn:10:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:10:bongo:Net2,IYS:GoA2020_Stn:10:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:11:bongo:Net1,IYS:GoA2020_Stn:11:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:11:bongo:Net2,IYS:GoA2020_Stn:11:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:12:bongo:Net1,IYS:GoA2020_Stn:12:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:12:bongo:Net2,IYS:GoA2020_Stn:12:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:13:bongo:Net1,IYS:GoA2020_Stn:13:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:13:bongo:Net2,IYS:GoA2020_Stn:13:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4500,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:14:bongo:Net1,IYS:GoA2020_Stn:14:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3100,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:14:bongo:Net2,IYS:GoA2020_Stn:14:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,3100,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:15:bongo:Net1,IYS:GoA2020_Stn:15:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:15:bongo:Net2,IYS:GoA2020_Stn:15:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:16:bongo:Net1,IYS:GoA2020_Stn:16:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4050,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:16:bongo:Net2,IYS:GoA2020_Stn:16:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4050,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:21:bongo:Net1,IYS:GoA2020_Stn:21:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4180,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:21:bongo:Net2,IYS:GoA2020_Stn:21:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4180,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:22:bongo:Net1,IYS:GoA2020_Stn:22:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4150,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:22:bongo:Net2,IYS:GoA2020_Stn:22:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4150,NA,meter,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
