eventID,parentEventID,eventDate,decimalLatitude,decimalLongitude,minimumDepthInMetres,maximumDepthInMetres,sampleSizeValue,eventRemarks,sampleSizeUnit,samplingProtocol,samplingEffort,footprintWKT,coordinateUncertaintyInMeters,type,geodeticDatum
IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020,IYS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:1,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:2,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:3,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:4,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:5,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:6,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:7,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:8,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:9,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:10,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:11,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:12,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:13,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:14,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:15,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:16,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:21,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:22,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:23,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:28,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:P,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:Q,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:P PRIME,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:S28,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
IYS:GoA2020_Stn:S27,IYS:GoA2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,EPSG:4326 WGS84
