eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn:1.0:bongo:Net1,NA,IYS:GoA2020_Stn:1.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2600,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:1.0:bongo:Net2,NA,IYS:GoA2020_Stn:1.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2600,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:2.0:bongo:Net1,NA,IYS:GoA2020_Stn:2.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2100,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:2.0:bongo:Net2,NA,IYS:GoA2020_Stn:2.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,2100,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:3.0:bongo:Net1,NA,IYS:GoA2020_Stn:3.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:3.0:bongo:Net2,NA,IYS:GoA2020_Stn:3.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4100,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:4.0:bongo:Net1,NA,IYS:GoA2020_Stn:4.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4110,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:4.0:bongo:Net2,NA,IYS:GoA2020_Stn:4.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4110,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:5.0:bongo:Net1,NA,IYS:GoA2020_Stn:5.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:5.0:bongo:Net2,NA,IYS:GoA2020_Stn:5.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4200,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:6.0:bongo:Net1,NA,IYS:GoA2020_Stn:6.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4350,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:6.0:bongo:Net2,NA,IYS:GoA2020_Stn:6.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4350,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:7.0:bongo:Net1,NA,IYS:GoA2020_Stn:7.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:7.0:bongo:Net2,NA,IYS:GoA2020_Stn:7.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:8.0:bongo:Net1,NA,IYS:GoA2020_Stn:8.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:8.0:bongo:Net2,NA,IYS:GoA2020_Stn:8.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4300,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:9.0:bongo:Net1,NA,IYS:GoA2020_Stn:9.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:9.0:bongo:Net2,NA,IYS:GoA2020_Stn:9.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4400,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:10.0:bongo:Net1,NA,IYS:GoA2020_Stn:10.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:10.0:bongo:Net2,NA,IYS:GoA2020_Stn:10.0:bongo:Net2:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn:11.0:bongo:Net1,NA,IYS:GoA2020_Stn:11.0:bongo:Net1:seafloor_depth,seafloor depth,http://vocab.nerc.ac.uk/collection/C00/current/SCILOG/,4600,NA,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
