eventID,lifeStage,sex,scientificName,scientificNameID,individualCount,identificationQualifier,kingdom,phylum,class,order,family,genus,scientificNameAuthorship,taxonRank,occurrenceRemarks,vernacularName,preparations,basisOfRecord,occurrenceID,occurrenceStatus
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Aglantha digitale,urn:lsid:marinespecies.org:taxname:117849,6,NA,Animalia,Cnidaria,Hydrozoa,Trachymedusae,Rhopalonematidae,Aglantha,"(O. F. Müller, 1776)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2248,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,5,sp. inc.,Animalia,Chaetognatha,NA,NA,NA,NA,NA,Phylum,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2249,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Clione limacina,urn:lsid:marinespecies.org:taxname:139178,2,NA,Animalia,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,"(Phipps, 1774)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2250,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,C6,F,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,15,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Eucalanus,"Giesbrecht, 1893",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2251,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Eukrohnia hamata,urn:lsid:marinespecies.org:taxname:105416,81,NA,Animalia,Chaetognatha,Sagittoidea,Phragmophora,Eukrohniidae,Eukrohnia,"(Möbius, 1875)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2252,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,1,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,"Hansen, 1911",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2253,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,C6,F,Lophothrix frontalis,urn:lsid:marinespecies.org:taxname:104779,1,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Lophothrix,"Giesbrecht, 1895",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2254,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,C6,M,Lophothrix frontalis,urn:lsid:marinespecies.org:taxname:104779,1,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Scolecitrichidae,Lophothrix,"Giesbrecht, 1895",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2255,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,C4,NA,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,4,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,"(Krøyer, 1848)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2256,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,C5,NA,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,39,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,"(Krøyer, 1848)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2257,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Oikopleura (Vexillaria) labradoriensis,urn:lsid:marinespecies.org:taxname:103413,2,NA,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,"Lohmann, 1892",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2258,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,C6,F,Paraeuchaeta elongata,urn:lsid:marinespecies.org:taxname:196779,4,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Euchaetidae,Paraeuchaeta,"(Esterly, 1913)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2259,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:105440,38,NA,Animalia,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,"(Verrill, 1873)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2260,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,M,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,1,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,"(Stebbing, 1888)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2261,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Thysanoessa longipes,urn:lsid:marinespecies.org:taxname:237873,1,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,"Brandt, 1851",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2262,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,NA,NA,Tomopteris septentrionalis,urn:lsid:marinespecies.org:taxname:131568,3,NA,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,"Steenstrup, 1849",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2263,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,C4,NA,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,1,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,"(Lilljeborg, 1853)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2264,present
IYS:GoA2020_Stn:P PRIME:bongo:Net1,C6,F,Acartia longiremis,urn:lsid:marinespecies.org:taxname:104257,1,NA,Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,"(Lilljeborg, 1853)",Species,NA,NA,Formalin,PreservedSpecimen,IYS:GoA2020_Stn:P PRIME:bongo:Net1:zocc:2265,present
