eventID,scientificName,scientificNameID,occurrenceStatus,sex,lifeStage,basisOfRecord,institutionCode,collectionCode,catalogNumber,preparations,occurrenceID
npmsdd-44-116-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-116-p
npmsdd-44-116-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-116-pr1
npmsdd-44-117-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-117-p
npmsdd-44-117-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-117-pr1
npmsdd-44-118-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-118-p
npmsdd-44-118-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-118-pr1
npmsdd-44-119-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-119-p
npmsdd-44-119-pr1,Actinopterygii,urn:lsid:marinespecies.org:taxname:10194,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-119-pr1
npmsdd-44-120-p,Oncorhynchus keta,urn:lsid:marinespecies.org:taxname:127183,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-120-p
npmsdd-44-120-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-120-pr1
npmsdd-44-121-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-121-p
npmsdd-44-121-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-121-pr1
npmsdd-44-122-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-122-p
npmsdd-44-122-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-122-pr1
npmsdd-44-122-pr2,Brachyura,urn:lsid:marinespecies.org:taxname:106673,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-122-pr2
npmsdd-44-123-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-123-p
npmsdd-44-123-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-123-pr1
npmsdd-44-124-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-124-p
npmsdd-44-124-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-124-pr1
npmsdd-44-125-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,unspecified,NA,PreservedSpecimen, , , , ,npmsdd-44-125-p
npmsdd-44-125-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-125-pr1
npmsdd-44-1827-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1827-p
npmsdd-44-1827-pr1,Copepoda,urn:lsid:marinespecies.org:taxname:1080,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1827-pr1
npmsdd-44-1828-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1828-p
npmsdd-44-1828-pr1,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1828-pr1
npmsdd-44-1829-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1829-p
npmsdd-44-1829-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1829-pr1
npmsdd-44-1830-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1830-p
npmsdd-44-1830-pr1,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1830-pr1
npmsdd-44-1831-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1831-p
npmsdd-44-1831-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1831-pr1
npmsdd-44-1832-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,immature,PreservedSpecimen, , , , ,npmsdd-44-1832-p
npmsdd-44-1832-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1832-pr1
npmsdd-44-1832-pr2,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1832-pr2
npmsdd-44-1833-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,mature,PreservedSpecimen, , , , ,npmsdd-44-1833-p
npmsdd-44-1833-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1833-pr1
npmsdd-44-1834-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1834-p
npmsdd-44-1834-pr1,Amphipoda,urn:lsid:marinespecies.org:taxname:1135,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1834-pr1
npmsdd-44-1834-pr2,Miscellaneous, ,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1834-pr2
npmsdd-44-1835-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,female,immature,PreservedSpecimen, , , , ,npmsdd-44-1835-p
npmsdd-44-1835-pr1,Coleoidea,urn:lsid:marinespecies.org:taxname:11709,present,NA,NA,PreservedSpecimen, , , , ,npmsdd-44-1835-pr1
npmsdd-44-1836-p,Oncorhynchus nerka,urn:lsid:marinespecies.org:taxname:254569,present,male,mature,PreservedSpecimen, , , , ,npmsdd-44-1836-p
